n = 4
  |V|   |E|   deg   Gen Set                 alpha   sigma
  10    30    6     [1, 4, 5, 6, 7, 9]            2       1
  10    30    6     [1, 4, 5, 6, 8, 9]            2       1
  10    30    6     [1, 4, 5, 7, 8, 9]            2       1
  10    30    6     [1, 4, 6, 7, 8, 9]            2       1
  10    35    7     [1, 5, 6, 7, 8, 9]            2       1
  10    35    7     [2, 3, 4, 5, 6, 7]            2       1
  10    35    7     [2, 3, 4, 5, 6, 8]            2       1
  10    35    7     [2, 3, 4, 5, 6, 9]            2       1
  10    35    7     [2, 3, 4, 5, 7, 8]            2       1
  10    35    7     [2, 3, 4, 5, 7, 9]            2       1
  10    35    7     [2, 3, 4, 5, 8, 9]            2       1
  10    35    7     [2, 3, 4, 6, 7, 8]            2       1
  10    35    7     [2, 3, 4, 6, 7, 9]            2       1
  10    35    7     [2, 3, 4, 6, 8, 9]            2       1
  10    35    7     [2, 3, 4, 7, 8, 9]            2       1
  10    30    6     [2, 3, 5, 6, 7, 8]            2       1
  10    30    6     [2, 3, 5, 6, 7, 9]            2       1
  10    30    6     [2, 3, 5, 6, 8, 9]            2       1
  10    30    6     [2, 3, 5, 7, 8, 9]            2       1
  10    30    6     [2, 3, 6, 7, 8, 9]            2       1
  10    40    8     [2, 4, 5, 6, 7, 8]            2       2
  10    40    8     [2, 4, 5, 6, 7, 9]            2       2
  10    40    8     [2, 4, 5, 6, 8, 9]            2       2
  10    40    8     [2, 4, 5, 7, 8, 9]            2       2
  10    40    8     [2, 4, 6, 7, 8, 9]            2       2
  10    35    7     [2, 5, 6, 7, 8, 9]            2       1
  10    40    8     [3, 4, 5, 6, 7, 8]            2       2
  10    40    8     [3, 4, 5, 6, 7, 9]            2       2
  10    40    8     [3, 4, 5, 6, 8, 9]            2       2
  10    40    8     [3, 4, 5, 7, 8, 9]            2       2
  10    40    8     [3, 4, 6, 7, 8, 9]            2       2
  10    35    7     [3, 5, 6, 7, 8, 9]            2       1
  10    35    7     [4, 5, 6, 7, 8, 9]            2       1
  10    35    7     [1, 2, 3, 4, 5, 6, 7]         2       1
  10    35    7     [1, 2, 3, 4, 5, 6, 8]         2       1
  10    35    7     [1, 2, 3, 4, 5, 6, 9]         2       1
  10    35    7     [1, 2, 3, 4, 5, 7, 8]         2       1
  10    35    7     [1, 2, 3, 4, 5, 7, 9]         2       1
  10    35    7     [1, 2, 3, 4, 5, 8, 9]         2       1
